sample_alias;host_scientific_name;host_sex;sample_site_ID;suborder_host;latitude;geographic_location_country;longitude;host_tax_id;collection_date;sample_title;sample_description;project_name;env_broad_scale;env_local_scale;env_medium;geo_loc_name;Elevation;scientific_name;tax_id
MEP1-A10;Phaneroptera_falcata;F;B2;Ensifera;46.26847275;Switzerland;7.032514702;396409;17.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;743;insect metagenome;1234904
MEP1-A11;Chorthippus_biguttulus;M;B5.2;Caelifera;46.29094315;Switzerland;7.112594383;270253;15.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1712;insect metagenome;1234904
MEP1-A12;Chorthippus_parallelus;F;B6;Caelifera;46.26808856;Switzerland;7.107608205;37639;21.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1836;insect metagenome;1234904
MEP1-A2;Chorthippus_parallelus;M;B5.1;Caelifera;46.28508505;Switzerland;7.124605796;37639;21.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1361;insect metagenome;1234904
MEP1-A3;Euthystira_brachyptera;F;B1;Caelifera;46.25719122;Switzerland;7.022405752;294354;16.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;601;insect metagenome;1234904
MEP1-A4;Miramella_alpina;M;B7;Caelifera;46.27627826;Switzerland;7.155130793;150816;23.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;2074;insect metagenome;1234904
MEP1-A5;Chorthippus_parallelus;M;B7;Caelifera;46.27627826;Switzerland;7.155130793;37639;23.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;2074;insect metagenome;1234904
MEP1-A6;Chorthippus_biguttulus;M;B2;Caelifera;46.26847275;Switzerland;7.032514702;270253;17.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;743;insect metagenome;1234904
MEP1-A7;Metrioptera_roeselii;M;B5.1;Ensifera;46.28508505;Switzerland;7.124605796;494379;21.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1361;insect metagenome;1234904
MEP1-A8;Tettigonia_cantans;F;B5.1;Ensifera;46.28508505;Switzerland;7.124605796;420850;21.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1361;insect metagenome;1234904
MEP1-A9;Stauroderus_scalaris;M;B4;Caelifera;46.28557705;Switzerland;7.095862432;7019;17.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1384;insect metagenome;1234904
